start_x,start_y,start_z,end_x,end_y,end_z
0,-0.4,0,-0.2,-0.4,0
-0.2,-0.4,0,-0.2,0.4,0
-0.2,0.4,0,0,0.4,0
0,0.4,0,0,2.6,0
0,2.6,0,-0.2,2.6,0
-0.2,2.6,0,-0.2,3.45,0
-0.2,3.45,0,0,3.45,0
0,3.45,0,0,7.3,0
0,7.3,0,0.9,7.5,0
0,-0.4,0,0,-2.8,0
1.3,-8,0,1.3,6.4,0
1.3,6.4,0,1.7,6.4,0
1.7,6.4,0,1.95,6.15,0
1.95,6.15,0,3.6,6.7,0
2.9,8.9,0,2.8,9.7,0
2.8,9.7,0,6,10.3,0
6,10.3,0,5.5,12.2,0
5.5,12.2,0,2.8,11.7,0
2.8,11.7,0,2.9,11.3,0
2.5,11.8,0,1.1,11.5,0
1.1,11.5,0,1.2,11,0
1.2,11,0,0,10.7,0
0,10.7,0,0.6,8.7,0
0.6,8.7,0,1,8.8,0
1,8.8,0,1.2,8,0
1.2,8,0,0.8,7.9,0
0.8,7.9,0,0.9,7.5,0
2.9,11.3,0,2.6,11.3,0
2.6037525105558443,11.3,0,2.5,11.8,0
3.4,8.3,0,6.3,8.9,0
6.3,8.9,0,6.5,7.6,0
6.5,7.6,0,3.5,7,0
3.5,7,0,3.6,6.7,0
0,-8,0,1.3,-8,0
3.2,8.9,0,3.4,8.3,0
3.2,8.9,0,2.9,8.9,0
-0.2,-2.8,0,0,-2.8,0
-0.2,-2.8001462379601993,0,-0.2,-3.6,0
-0.2,-3.6,0,0,-3.6,0
0,-3.6,0,0,-8,0
